tessellator,primitive,amount,init_time,tess_time
Lyon,triangle,10,25711,8272
Lyon,triangle,10,24952,7777
Lyon,triangle,10,25811,8215
Lyon,triangle,10,26345,8535
Lyon,triangle,10,27449,8014
Lyon,triangle,10,29326,9272
Lyon,triangle,10,29547,8676
Lyon,triangle,10,28615,9144
Lyon,triangle,10,29417,9121
Lyon,triangle,10,29145,8755
Lyon,triangle,10,31744,9407
Lyon,triangle,10,30141,9454
Lyon,triangle,10,30958,9491
Lyon,triangle,10,29117,12413
Lyon,triangle,10,29581,9081
Lyon,triangle,10,29515,9720
Lyon,triangle,10,30243,10328
Lyon,triangle,10,30618,10174
Lyon,triangle,10,30531,9846
Lyon,triangle,10,20867,5464
Lyon,triangle,10,29498,9825
Lyon,triangle,10,28007,8960
Lyon,triangle,10,30460,12443
Lyon,triangle,10,32608,9687
Lyon,triangle,10,30920,8799
Lyon,triangle,10,29305,9173
Lyon,triangle,10,25282,8914
Lyon,triangle,10,29401,8952
Lyon,triangle,10,30606,6736
Lyon,triangle,10,21715,8307
Lyon,triangle,10,31059,9657
Lyon,triangle,10,28090,9244
Lyon,triangle,10,28614,7477
Lyon,triangle,10,27307,9410
Lyon,triangle,10,23965,8391
Lyon,triangle,10,28273,8741
Lyon,triangle,10,29288,9467
Lyon,triangle,10,30026,9618
Lyon,triangle,10,30090,9540
Lyon,triangle,10,30507,9329
Lyon,triangle,10,30601,9383
Lyon,triangle,10,30463,8185
Lyon,triangle,10,23066,5575
Lyon,triangle,10,23582,9107
Lyon,triangle,10,22796,8642
Lyon,triangle,10,30943,6420
Lyon,triangle,10,24318,8883
Lyon,triangle,10,31407,10178
Lyon,triangle,10,26604,9206
Lyon,triangle,10,20679,7526
Lyon,triangle,10,19448,9066
Lyon,triangle,10,27432,7862
Lyon,triangle,10,30540,9350
Lyon,triangle,10,30030,9875
Lyon,triangle,10,30647,9424
Lyon,triangle,10,29292,5755
Lyon,triangle,10,31145,6268
Lyon,triangle,10,21849,8874
Lyon,triangle,10,24667,8653
Lyon,triangle,10,29728,10264
Lyon,triangle,10,28968,9314
Lyon,triangle,10,29300,10353
Lyon,triangle,10,29921,8851
Lyon,triangle,10,30157,9421
Lyon,triangle,10,27915,8035
Lyon,triangle,10,29564,9268
Lyon,triangle,10,36512,9764
Lyon,triangle,10,30006,9270
Lyon,triangle,10,30378,9583
Lyon,triangle,10,30532,9892
Lyon,triangle,10,29661,9454
Lyon,triangle,10,30127,9622
Lyon,triangle,10,29691,9411
Lyon,triangle,10,29749,9428
Lyon,triangle,10,30593,10205
Lyon,triangle,10,31799,9421
Lyon,triangle,10,31163,9499
Lyon,triangle,10,26794,9649
Lyon,triangle,10,30319,7468
Lyon,triangle,10,29936,7757
Lyon,triangle,10,29509,9057
Lyon,triangle,10,29254,6612
Lyon,triangle,10,26325,9240
Lyon,triangle,10,28590,9816
Lyon,triangle,10,30628,9958
Lyon,triangle,10,27682,7536
Lyon,triangle,10,30236,8981
Lyon,triangle,10,21167,5523
Lyon,triangle,10,17225,5074
Lyon,triangle,10,26132,9290
Lyon,triangle,10,25182,8652
Lyon,triangle,10,24184,9470
Lyon,triangle,10,29026,8762
Lyon,triangle,10,30536,6932
Lyon,triangle,10,19135,7545
Lyon,triangle,10,28367,6689
Lyon,triangle,10,29895,9316
Lyon,triangle,10,29515,9792
Lyon,triangle,10,30282,9302
Lyon,triangle,10,29654,9173
Lyon,triangle,10,30877,9637
Lyon,triangle,10,29271,8725
Lyon,triangle,10,30553,7984
Lyon,triangle,10,22844,5668
Lyon,triangle,10,27602,9634
Lyon,triangle,10,30008,8589
Lyon,triangle,10,26858,7017
Lyon,triangle,10,22033,5655
Lyon,triangle,10,22676,8107
Lyon,triangle,10,29719,9340
Lyon,triangle,10,30163,9603
Lyon,triangle,10,30401,9524
Lyon,triangle,10,30174,9709
Lyon,triangle,10,28933,8944
Lyon,triangle,10,28285,8877
Lyon,triangle,10,30761,9543
Lyon,triangle,10,29974,9652
Lyon,triangle,10,30364,9503
Lyon,triangle,10,30346,9637
Lyon,triangle,10,31459,12114
Lyon,triangle,10,30517,9606
Lyon,triangle,10,29684,12798
Lyon,triangle,10,32184,9437
Lyon,triangle,10,26231,8091
Lyon,triangle,10,31883,10083
Lyon,triangle,10,30893,10042
Lyon,triangle,10,31813,9490
Lyon,triangle,10,31574,9194
Lyon,triangle,10,31318,10262
Lyon,triangle,10,29250,5647
Lyon,triangle,10,30918,9590
Lyon,triangle,10,30896,8263
Lyon,triangle,10,29444,9503
Lyon,triangle,10,28992,9580
Lyon,triangle,10,30749,9485
Lyon,triangle,10,29905,7867
Lyon,triangle,10,29292,9272
Lyon,triangle,10,29856,8948
Lyon,triangle,10,30986,9629
Lyon,triangle,10,30709,9627
Lyon,triangle,10,29926,9725
Lyon,triangle,10,30130,8947
Lyon,triangle,10,30564,9111
Lyon,triangle,10,29329,9926
Lyon,triangle,10,30200,9488
Lyon,triangle,10,30029,8601
Lyon,triangle,10,30847,9754
Lyon,triangle,10,31437,9243
Lyon,triangle,10,29928,9497
Lyon,triangle,10,30147,9738
Lyon,triangle,10,30904,7728
Lyon,triangle,10,30589,9420
Lyon,triangle,10,29905,9371
Lyon,triangle,10,30102,8895
Lyon,triangle,10,30705,9187
Lyon,triangle,10,30002,9539
Lyon,triangle,10,30713,9441
Lyon,triangle,10,30658,8782
Lyon,triangle,10,30145,9977
Lyon,triangle,10,31055,17088
Lyon,triangle,10,30605,9441
Lyon,triangle,10,29314,8973
Lyon,triangle,10,30338,9639
Lyon,triangle,10,29838,9155
Lyon,triangle,10,28947,9864
Lyon,triangle,10,29738,9575
Lyon,triangle,10,21823,7734
Lyon,triangle,10,29985,7920
Lyon,triangle,10,25672,8914
Lyon,triangle,10,23421,5451
Lyon,triangle,10,28779,8997
